,Employee_Id,Employee_Name,Manager_Id,City,State,Country,Salary,Post_Code,Phone_Number,Department_Id,Joining_Date
0,BN6VGA,Matthew Baxter,Q3RJTZI5BP,Blackburnland,Maryland,IT,1270.05,97404,050.374.4825,15,19:45:28
1,KH1FS1,Tracey Gardner,Z927ZZ7XXH,North Billy,Georgia,DE,1475.87,98901,075-263-6327,16,16:37:44
2,55KSIZ,Stephen Hoover,3RI9B63ELD,Robertview,Montana,NL,2673.49,06668,(777)845-3323,16,14:58:12
3,GSCOZ3,Walter Lopez,2GBDY343FQ,North Andrewchester,Kentucky,NL,8047.1,74630,(974)735-5484,14,13:33:16
4,8GBOSR,Holly Webster,FUAS04B1N0,West Larry,New Mexico,DE,4672.74,94302,(936)097-4119x101,17,12:14:32
5,PKIOQU,Jessica Smith,0NVQDDS98J,Reillyside,Missouri,FR,4269.27,12605,9957258685,16,15:53:44
6,CYKIQZ,Brittany Moody,2ODNFOTMAN,Lake Michael,Arkansas,FR,3710.72,62338,3648174115,16,12:39:42
7,M4AHO8,Ivan Gomez,EU0E4MBB4R,Joshuaview,Missouri,US,7992.19,29330,+1-193-332-2103,15,15:53:52
8,4JF30Z,Joy Johnston,LXZDJJE5MU,South Keithhaven,Ohio,NL,3496.16,69187,(471)938-6205,15,19:09:08
9,LAJFFR,Patricia Frederick,DO9TARCLZ0,Rogersbury,Wyoming,US,2188.37,12780,825-366-3592x784,15,21:46:17
10,GY2IR1,Lisa Rangel,6VWC37SADG,Port Brianaton,West Virginia,IT,8515.09,32953,(821)662-4632x4596,16,21:40:56
11,42BS17,Shannon Benson,BS1YS095O4,Morganfurt,Missouri,DE,2167.78,03628,+1-774-268-3554,15,18:01:16
12,ORX9TF,Chad Carlson,TOGXILFRPE,Meadowsmouth,Ohio,NL,9210.32,50288,981-193-4914,14,15:07:40
13,FXQ04P,Blake Peters,6MVE965HON,Port Alexandratown,Montana,IT,3478.17,73243,001-602-563-6355x84169,15,14:40:26
14,RH8S83,James Davis,JVMXTMQ5DQ,South Luke,California,NL,7631.78,12854,856-277-2215x0481,15,15:56:37
15,LDKMB3,Denise Hartman,58UQ9JW7YL,Stevenbury,New Mexico,FR,8080.87,19073,830-974-9202,17,19:01:40
16,ZNFP54,Karen Harris,EPXTAR0FZD,Brianton,Arkansas,FR,3420.97,11249,+1-994-785-4428x31412,15,23:20:56
